,cores,sizes,times
0,1,1000,1.7938592433929443
1,1,2000,4.551750183105469
2,1,5000,13.484930515289307
3,1,7000,19.926262855529785
4,1,10000,29.851879835128784
5,1,15000,48.56377577781677
6,1,20000,69.73959302902222
7,1,25000,86.8936197757721
8,1,30000,109.04715633392334
9,1,45000,171.38095211982727
10,1,60000,239.53111362457275
11,1,70000,283.2488453388214
12,2,1000,1.0079431533813477
13,2,2000,2.337416648864746
14,2,5000,6.612889051437378
15,2,7000,10.412444114685059
16,2,10000,15.667192697525024
17,2,15000,24.670193195343018
18,2,20000,34.1747260093689
19,2,25000,44.50364875793457
20,2,30000,55.049652338027954
21,2,45000,86.46168375015259
22,2,60000,121.4938645362854
23,2,70000,145.65200638771057
24,3,1000,0.7138559818267822
25,3,2000,1.562631368637085
26,3,5000,4.590010404586792
27,3,7000,6.938733100891113
28,3,10000,10.22381043434143
29,3,15000,17.723241806030273
30,3,20000,24.305588960647583
31,3,25000,30.654436349868774
32,3,30000,37.52491474151611
33,3,45000,60.25975942611694
34,3,60000,83.2231342792511
35,3,70000,98.38715028762817
36,4,1000,0.5686631202697754
37,4,2000,1.2984797954559326
38,4,5000,3.62783145904541
39,4,7000,5.312462091445923
40,4,10000,8.256167888641357
41,4,15000,13.107549667358398
42,4,20000,18.09895086288452
43,4,25000,23.987131357192993
44,4,30000,28.783096313476562
45,4,45000,46.00150728225708
46,4,60000,65.57577538490295
47,4,70000,75.82016110420227
48,5,1000,0.4985780715942383
49,5,2000,1.1504936218261719
50,5,5000,3.138023614883423
51,5,7000,4.476421594619751
52,5,10000,6.607249736785889
53,5,15000,10.45406436920166
54,5,20000,15.829338788986206
55,5,25000,20.526665210723877
56,5,30000,23.957329511642456
57,5,45000,38.359968185424805
58,5,60000,52.635693311691284
59,5,70000,66.05289030075073
60,6,1000,0.4408392906188965
61,6,2000,0.870203971862793
62,6,5000,2.5214035511016846
63,6,7000,3.8897624015808105
64,6,10000,5.544603109359741
65,6,15000,9.014483213424683
66,6,20000,12.350444316864014
67,6,25000,16.171870470046997
68,6,30000,20.213287115097046
69,6,45000,32.16866660118103
70,6,60000,44.39087200164795
71,6,70000,53.690847635269165
72,9,1000,0.34802699089050293
73,9,2000,0.7169685363769531
74,9,5000,1.8683745861053467
75,9,7000,2.6876518726348877
76,9,10000,4.059927940368652
77,9,15000,6.369987964630127
78,9,20000,9.024513721466064
79,9,25000,11.60956335067749
80,9,30000,14.308605909347534
81,9,45000,22.506808519363403
82,9,60000,30.44385600090027
83,9,70000,36.87260866165161
84,12,1000,0.29494190216064453
85,12,2000,0.5495619773864746
86,12,5000,1.4914238452911377
87,12,7000,2.2223565578460693
88,12,10000,3.33021879196167
89,12,15000,5.2223851680755615
90,12,20000,7.1956093311309814
91,12,25000,9.286618947982788
92,12,30000,11.621920108795166
93,12,45000,18.222316026687622
94,12,60000,24.9249370098114
95,12,70000,32.06112718582153
96,15,1000,0.2799348831176758
97,15,2000,0.4700953960418701
98,15,5000,1.2451682090759277
99,15,7000,1.7748494148254395
100,15,10000,2.726682186126709
101,15,15000,4.415498971939087
102,15,20000,6.11004638671875
103,15,25000,7.9151623249053955
104,15,30000,9.694298028945923
105,15,45000,15.316873550415039
106,15,60000,21.906368494033813
107,15,70000,26.313856840133667
108,18,1000,0.25330257415771484
109,18,2000,0.42156529426574707
110,18,5000,1.0853703022003174
111,18,7000,1.5614571571350098
112,18,10000,2.3143110275268555
113,18,15000,3.7090070247650146
114,18,20000,5.269637823104858
115,18,25000,6.762773513793945
116,18,30000,8.49036693572998
117,18,45000,13.021652221679688
118,18,60000,18.151607275009155
119,18,70000,21.519808292388916
120,24,1000,0.24412107467651367
121,24,2000,0.34689998626708984
122,24,5000,0.9163515567779541
123,24,7000,1.30739426612854
124,24,10000,2.000126600265503
125,24,15000,3.1019132137298584
126,24,20000,4.383680582046509
127,24,25000,5.392063856124878
128,24,30000,6.780743598937988
129,24,45000,10.465697050094604
130,24,60000,14.940185070037842
131,24,70000,17.41328191757202
132,32,1000,0.23822546005249023
133,32,2000,0.34743165969848633
134,32,5000,0.7463643550872803
135,32,7000,1.0852611064910889
136,32,10000,1.5256133079528809
137,32,15000,2.48722767829895
138,32,20000,3.506418228149414
139,32,25000,4.473333120346069
140,32,30000,5.3561577796936035
141,32,45000,8.71953010559082
142,32,60000,11.787147283554077
143,32,70000,14.299548149108887
